id,imps
27594,150
27595,60
27596,150
27597,60
27590,150
27591,150
27592,60
27593,60
27598,150
27599,30
49231,100
48018,60
48019,150
21360,150
48012,150
48013,60
48010,150
48016,60
21363,150
48014,150
48015,150
49232,150
29259,30
29255,30
29254,30
29257,60
29256,150
29251,150
29250,60
21364,150
21367,30
78358,7
78356,30
78354,7
21366,150
78350,30
34280,7
34281,30
34282,30
34283,150
34284,150
34285,30
34286,60
34287,60
34288,7
34289,150
72051,150
72050,150
72057,150
72056,60
79087,150
72054,60
59508,30
59509,60
59502,150
59503,100
59500,150
59501,60
59506,60
59507,7
59504,100
59505,100
77025,150
78686,7
78681,100
78683,30
78688,7
66214,30
66215,150
66216,150
50308,150
66210,30
66211,30
66212,100
66213,30
50302,150
50301,150
50300,150
66218,150
66219,60
50305,150
50304,150
23039,150
23038,150
23037,150
23036,150
23035,150
23034,150
23033,30
23032,150
23031,150
23030,150
22348,150
22349,7
22346,150
22347,100
22344,150
22345,150
22342,150
22343,60
22340,60
22341,150
77269,60
77268,7
77263,150
77262,150
77261,150
77260,60
77267,150
77266,150
77265,150
77264,100
73010,60
73011,7
73012,60
73013,60
73014,7
73015,150
73017,30
73018,30
73019,150
95610,60
95611,150
51160,100
51161,150
51162,150
51163,150
51164,150
51165,150
51166,150
51167,150
51168,100
51169,150
27279,100
27278,150
61299,150
61298,30
27271,60
27270,60
27273,30
61296,150
27275,30
27274,150
27277,60
27276,100
25527,60
25526,150
25525,150
25524,100
25523,150
25522,150
25521,60
25520,150
25529,150
25528,150
02212,30
02213,150
02210,150
02211,150
02216,60
02217,150
02214,150
02215,150
74249,7
02218,150
02219,150
57575,150
57574,60
57577,150
57576,100
57571,60
57570,60
57573,150
57572,150
70542,60
70541,30
70540,150
57579,150
57578,60
70545,150
70544,30
75113,150
75112,150
75111,150
75110,150
75117,150
75116,150
75115,150
75114,150
75119,150
75118,150
77490,60
77491,30
77492,100
40069,100
40068,150
40063,60
40062,150
40061,150
40060,150
02-20,150
02-21,150
40065,30
40064,150
14149,100
14148,150
14145,150
14144,100
14147,150
14146,150
14141,150
14140,150
14143,150
14142,150
01299,150
01298,150
89111,150
01293,150
01292,150
01291,100
01290,30
01297,30
01296,150
01295,60
01294,30
89113,7
89115,100
11182,150
89116,150
11183,150
89117,150
11180,150
14499,60
14498,30
14493,100
14354,150
14491,100
14497,150
14496,150
14495,150
14355,100
38039,30
38038,60
14356,60
76499,150
76498,7
38033,60
38032,60
38031,150
14357,150
38037,60
38036,30
38035,30
38034,60
71001,100
71003,150
89042,150
89043,150
89040,150
71002,150
89046,150
89044,60
89045,150
89048,150
89049,150
71007,150
55076,150
71006,150
55077,150
91111,60
08377,150
08376,150
08375,150
08374,150
08373,150
08372,150
08371,100
08370,150
91115,30
55078,150
08379,150
08378,150
47040,30
47041,150
47042,150
47043,150
47044,150
47045,60
47046,150
47047,150
47048,150
47049,150
31517,30
31516,30
31515,30
31514,60
31513,150
31512,100
31511,150
31510,150
31519,60
31518,30
88319,150
88318,100
88315,60
88314,150
88317,150
88316,150
88311,150
88310,150
88313,150
88312,150
39070,60
39072,150
39073,150
39074,150
39075,150
39076,100
39077,150
39078,7
39079,60
69242,30
44041,60
69240,100
69241,30
69246,60
69247,150
69244,7
44040,100
69248,100
69249,30
09-10,150
09-11,150
09-12,150
09-13,150
67078,30
02601,150
44044,150
44046,100
67071,100
67070,100
17434,60
17435,150
17436,150
17437,100
17430,150
17431,60
17432,150
17433,150
17438,150
17439,100
80269,150
80268,150
68-15,150
68-14,150
80267,30
68-16,150
80261,30
80260,100
68-13,150
80262,150
62379,150
62378,150
62377,150
62376,100
62375,150
62374,150
62373,60
62372,150
62371,60
62370,150
85169,100
85168,150
76534,100
85161,100
85160,100
85163,60
85162,150
85165,30
85164,150
85167,30
85166,30
41073,150
41072,7
29-21,150
29-20,150
29-27,150
29-26,150
29-25,150
41074,150
29167,60
41079,150
41078,150
17273,60
29166,150
54242,150
54243,100
54240,150
54241,150
54246,150
54247,150
54244,150
54245,150
54248,150
54249,60
95270,60
95271,100
95277,7
28054,30
28055,30
28056,100
28057,150
28050,60
28051,150
28052,30
28053,150
28058,30
28059,150
61464,150
61465,30
51362,100
51363,30
51360,150
51361,150
51367,150
51364,150
51365,60
51368,150
51369,150
61059,150
61058,30
61057,150
61056,150
61055,150
61054,150
61053,150
61052,150
61051,150
61050,150
25321,100
25320,150
25323,150
25322,60
25325,150
25324,150
25327,150
25326,100
25329,150
25328,150
89177,150
28356,150
70347,30
70343,150
70342,150
28354,100
59626,60
59625,150
59624,150
57009,150
57008,60
57004,150
57007,150
57006,150
57001,150
57003,150
28353,150
16424,150
16425,100
59620,150
16420,150
16421,150
16422,150
16423,150
60094,150
60095,60
52189,150
60097,100
60090,60
60091,150
60092,150
60093,150
52183,150
52182,150
52181,150
52180,150
52187,150
60099,150
52185,150
52184,150
53272,150
53273,150
53270,150
53271,150
53276,100
53274,150
49248,150
21319,30
21314,150
21315,30
21316,150
49247,30
21310,150
49241,30
21312,150
49243,150
94075,30
31078,150
94077,7
94076,7
94071,7
94070,30
94073,7
31079,30
94079,7
94078,7
95535,60
50291,150
81323,150
50290,100
31072,150
31073,30
31074,150
31075,30
31076,60
50296,150
78528,60
78520,60
78522,60
78524,7
62636,60
62637,30
62634,30
62635,150
62632,100
62633,30
62630,150
62631,150
62638,100
62639,60
27419,60
27418,60
27411,100
27410,30
27413,150
27412,7
27415,150
27414,150
27417,100
27416,150
08171,150
08170,7
08173,150
08172,150
08175,60
08174,7
67048,60
08176,150
08179,100
08178,150
67044,60
67045,100
67043,7
67040,7
67041,100
64506,150
91292,60
91293,60
91294,150
81322,150
29048,60
29049,150
29044,60
29045,60
29046,30
29047,30
29040,60
29041,150
29042,30
29043,60
86296,150
86297,60
86294,60
86295,150
31069,7
31068,150
31067,150
31066,100
31065,150
31064,150
31063,150
31062,150
31061,60
31060,150
55099,30
55094,150
55095,150
55096,150
55097,150
55093,150
35294,30
35295,150
35296,30
35297,100
35290,150
35291,30
35292,100
35293,60
35299,60
24443,150
24442,60
24441,150
50119,150
24447,150
24446,150
24445,150
24444,150
50112,150
50110,150
50111,150
50116,100
50117,100
50114,150
50115,150
55549,150
55543,150
55540,150
55541,30
55546,150
55547,150
55544,150
55545,30
22139,150
22138,150
73197,100
73196,7
73191,150
73190,30
73193,150
73192,150
22131,150
22133,150
22132,150
22135,150
22134,30
22137,150
22136,30
77438,7
77439,150
77432,60
77433,30
77430,100
77431,30
77436,150
77437,100
77434,150
77435,60
66034,60
66035,150
73223,150
66038,60
73221,150
73220,150
73227,150
73226,150
73225,30
66039,150
73229,150
73228,60
51645,150
51644,100
51647,30
51646,150
51641,150
51640,150
51643,30
51642,150
51649,30
51648,150
56015,60
56014,100
56017,30
56016,150
56011,60
56010,60
56013,60
56012,60
56019,150
56018,30
02397,150
02396,150
02395,150
74166,7
02393,150
02392,150
36248,60
02390,150
36246,150
36247,150
36244,150
36245,150
36242,150
36243,150
02399,150
02398,100
84098,30
84099,150
41279,150
41278,150
41275,150
41274,150
41277,150
41276,7
41271,150
41270,150
41273,150
41272,100
77407,30
77406,100
73184,150
77404,60
77403,30
77402,60
77401,30
77400,100
71261,100
71263,30
71262,150
71265,60
71264,100
71267,100
71266,150
71269,7
71268,150
73188,60
33038,100
33039,7
33036,100
33037,60
33034,30
33035,60
33032,30
33033,100
33030,60
33031,30
01158,150
01159,60
01154,60
01155,150
01156,30
01157,30
01150,60
01151,60
01152,150
01153,30
83013,150
83012,150
83011,150
83010,150
83017,7
83016,30
83015,150
83014,150
83019,60
83018,150
71485,150
71484,30
71487,30
71486,60
71481,30
71480,150
71483,150
71482,150
71489,150
71488,100
14758,30
14759,30
14754,100
14755,150
14756,150
14757,100
14750,150
14751,30
14752,100
14753,150
2B364,150
2B365,150
18105,150
18104,150
18107,60
18106,150
18101,150
18100,150
18103,150
18102,150
18109,150
18108,150
01-09,150
30077,150
28357,30
38268,150
30074,150
30073,30
30072,30
30071,100
30070,30
38262,60
38263,30
38260,30
38261,30
38266,150
28355,60
38264,150
38265,150
31306,150
31307,150
31304,150
31305,150
31302,30
31303,30
31300,30
31301,150
54-05,150
91338,30
31308,150
31309,150
28351,150
11229,150
11228,150
11227,150
11226,150
11225,30
11224,150
11223,150
11222,150
11221,150
11220,100
19058,150
19059,150
52291,150
19050,150
19051,150
19052,150
19053,100
19054,150
19055,150
19056,150
19057,150
38-08,150
73063,150
62599,150
62598,100
85305,100
76169,30
76168,150
76167,60
76166,150
76165,30
38-07,150
76162,150
39135,150
39134,150
39137,150
39136,150
39131,150
39130,150
39133,150
39132,150
76160,30
39139,150
39138,150
80658,60
80659,60
80650,150
80651,150
80652,150
80654,100
80655,150
80656,150
80657,150
88108,150
88109,60
88104,100
88105,150
88106,150
88107,150
88100,60
88101,150
88102,150
88103,150
73232,150
95459,60
95450,60
95452,100
95456,30
12284,150
12285,150
12286,100
12287,30
12280,150
12281,30
12282,150
12283,150
21156,150
21157,150
21154,150
21155,150
12288,150
12289,150
21150,150
21151,150
81309,150
81308,150
64089,150
64088,30
64087,30
64086,60
64085,150
64084,150
64083,150
64082,100
64081,150
64080,30
21484,150
21485,150
21486,30
21487,30
21480,150
21481,30
21482,150
21483,150
21488,150
21489,150
91333,7
55577,150
55575,150
53074,30
53075,150
53076,150
53077,150
53071,150
53072,150
53073,150
55573,150
53078,30
53079,150
71420,150
55571,150
71427,150
55570,150
71426,150
71425,150
71424,150
55579,150
55578,150
07138,100
07139,150
07130,150
07131,7
07132,100
07133,150
07134,100
07135,150
07136,150
07137,150
35284,60
2B298,150
2B299,100
2B296,60
2B297,100
2B290,150
2B291,150
2B292,150
2B293,150
59289,150
59288,60
59285,150
59284,100
59287,150
59286,7
59281,100
59280,100
59283,150
59282,100
95331,30
61390,150
61391,30
61392,150
61393,150
61394,150
61395,150
61396,150
61397,7
61398,150
61399,150
74174,150
74175,7
74172,7
74173,100
23266,150
74170,7
07337,60
74171,30
23264,150
23265,150
07332,60
07333,150
23260,150
23261,150
26351,150
26350,150
26353,60
26352,150
26355,100
26354,150
26357,60
