id,postcode,name,density,x,y
85178,85170,Le Poiré-sur-Vie,114,-1.50,46.77
85179,85440,Poiroux,37,-1.54,46.51
85180,85700,La Pommeraie-sur-Sèvre,68,-0.79,46.83
85181,85570,Pouillé,38,-0.96,46.50
85182,85700,Pouzauges,151,-0.83,46.78
85184,85240,Puy-de-Serre,23,-0.68,46.57
85185,85450,Puyravault,40,-1.09,46.36
85186,85250,La Rabatelière,111,-1.26,46.86
85187,85700,Réaumur,38,-0.82,46.71
85188,85210,La Réorthe,45,-1.05,46.61
85189,85270,Notre-Dame-de-Riez,134,-1.89,46.75
85190,85620,Rocheservière,109,-1.50,46.93
85191,85000,La Roche-sur-Yon,603,-1.41,46.67
85192,85510,Rochetrejoux,82,-1.00,46.79
85193,85320,Rosnay,41,-1.30,46.53
85194,85100,Les Sables-d'Olonne,1616,-1.79,46.50
85196,85250,Saint-André-Goule-d'Oie,85,-1.20,46.84
85197,85260,Saint-André-Treize-Voies,72,-1.41,46.93
85198,85130,Saint-Aubin-des-Ormeaux,104,-1.04,47.00
85199,85210,Saint-Aubin-la-Plaine,44,-1.06,46.50
85200,85540,Saint-Avaugourd-des-Landes,47,-1.48,46.51
85201,85540,Saint-Benoist-sur-Mer,26,-1.34,46.43
85202,85110,Sainte-Cécile,46,-1.12,46.73
85204,85670,Saint-Christophe-du-Ligneron,59,-1.74,46.82
85205,85410,Saint-Cyr-des-Gâts,25,-0.86,46.57
85206,85540,Saint-Cyr-en-Talmondais,25,-1.34,46.46
85207,85580,Saint-Denis-du-Payré,23,-1.27,46.41
85208,85170,Saint-Denis-la-Chevasse,56,-1.38,46.83
85209,85210,Saint-Étienne-de-Brillouet,30,-1.01,46.51
85210,85670,Saint-Étienne-du-Bois,69,-1.60,46.84
85211,85150,Sainte-Flaive-des-Loups,62,-1.58,46.61
85212,85140,Sainte-Florence,71,-1.16,46.79
85213,85310,Saint-Florent-des-Bois,72,-1.34,46.61
85214,85150,Sainte-Foy,119,-1.69,46.53
85215,85250,Saint-Fulgent,100,-1.16,46.87
85216,85400,Sainte-Gemme-la-Plaine,57,-1.11,46.47
85217,85600,Saint-Georges-de-Montaigu,121,-1.28,46.93
85218,85150,Saint-Georges-de-Pointindoux,105,-1.63,46.64
85219,85390,Saint-Germain-l'Aiguiller,52,-0.83,46.69
85220,85110,Saint-Germain-de-Prinçay,62,-1.04,46.74
85221,85230,Saint-Gervais,57,-1.98,46.93
85222,85800,Saint-Gilles-Croix-de-Vie,723,-1.92,46.69
85223,85210,Sainte-Hermine,82,-1.07,46.56
85224,85600,Saint-Hilaire-de-Loulay,108,-1.33,47.01
85226,85270,Saint-Hilaire-de-Riez,222,-1.97,46.74
85227,85240,Saint-Hilaire-des-Loges,56,-0.65,46.47
85229,85120,Saint-Hilaire-de-Voust,35,-0.65,46.59
85231,85440,Saint-Hilaire-la-Forêt,69,-1.53,46.46
85232,85480,Saint-Hilaire-le-Vouhis,35,-1.15,46.69
85233,85210,Saint-Jean-de-Beugné,43,-1.11,46.52
85234,85160,Saint-Jean-de-Monts,133,-2.05,46.80
85235,85210,Saint-Juire-Champgillon,20,-1.01,46.59
85236,85150,Saint-Julien-des-Landes,54,-1.72,46.64
85237,85410,Saint-Laurent-de-la-Salle,19,-0.92,46.59
85238,85290,Saint-Laurent-sur-Sèvre,224,-0.90,46.95
85239,85220,Saint-Maixent-sur-Vie,90,-1.83,46.73
85240,85590,Saint-Malô-du-Bois,104,-0.92,46.92
85242,85590,Saint-Mars-la-Réorthe,100,-0.93,46.86
85243,85470,Brem-sur-Mer,164,-1.81,46.61
85244,85200,Saint-Martin-de-Fraigneau,60,-0.76,46.43
85245,85570,Saint-Martin-des-Fontaines,29,-0.91,46.55
85246,85140,Saint-Martin-des-Noyers,54,-1.20,46.72
85247,85130,Saint-Martin-des-Tilleuls,70,-1.06,46.97
85248,85210,Saint-Martin-Lars-en-Sainte-Hermine,21,-0.98,46.60
85250,85150,Saint-Mathurin,88,-1.71,46.57
85251,85120,Saint-Maurice-des-Noues,31,-0.72,46.60
85252,85390,Saint-Maurice-le-Girard,53,-0.81,46.64
85254,85700,Saint-Mesmin,66,-0.75,46.80
85255,85580,Saint-Michel-en-l'Herm,42,-1.25,46.34
85256,85200,Saint-Michel-le-Cloucq,73,-0.74,46.49
85257,85700,Saint-Michel-Mont-Mercure,78,-0.90,46.84
85259,85500,Saint-Paul-en-Pareds,98,-0.97,46.83
85260,85670,Saint-Paul-Mont-Penit,46,-1.67,46.81
85261,85320,Sainte-Pexine,15,-1.12,46.56
85262,85660,Saint-Philbert-de-Bouaine,63,-1.51,46.99
85264,85120,Saint-Pierre-du-Chemin,46,-0.70,46.70
85265,85420,Saint-Pierre-le-Vieux,42,-0.74,46.40
85266,85110,Saint-Prouant,116,-0.97,46.75
85267,85450,Sainte-Radégonde-des-Noyers,27,-1.07,46.37
85268,85220,Saint-Révérend,88,-1.83,46.71
85269,85420,Saint-Sigismond,40,-0.71,46.34
85271,85410,Saint-Sulpice-en-Pareds,31,-0.83,46.61
85272,85260,Saint-Sulpice-le-Verdon,70,-1.41,46.89
85273,85230,Saint-Urbain,106,-2.02,46.88
85274,85570,Saint-Valérien,35,-0.94,46.53
85276,85110,Saint-Vincent-Sterlanges,168,-1.08,46.74
85277,85540,Saint-Vincent-sur-Graon,28,-1.38,46.50
85278,85520,Saint-Vincent-sur-Jard,88,-1.55,46.43
85279,85170,Saligny,80,-1.40,46.80
85280,85300,Sallertaine,57,-1.95,46.87
85281,85200,Sérigné,54,-0.85,46.51
85282,85110,Sigournais,47,-0.99,46.71
85284,85300,Soullans,101,-1.91,46.80
85285,85310,Le Tablier,75,-1.33,46.56
85286,85450,La Taillée,47,-0.94,46.39
85287,85390,Tallud-Sainte-Gemme,25,-0.89,46.70
85288,85440,Talmont-Saint-Hilaire,81,-1.63,46.48
85289,85120,La Tardière,64,-0.73,46.66
85290,85210,Thiré,50,-1.01,46.54
85291,85480,Thorigny,36,-1.25,46.62
85292,85410,Thouarsais-Bouildroux,42,-0.87,46.61
85293,85130,Tiffauges,158,-1.10,47.00
85294,85360,La Tranche-sur-Mer,157,-1.43,46.36
85295,85600,Treize-Septiers,138,-1.23,47.00
85296,85590,Treize-Vents,63,-0.85,46.92
85297,85580,Triaize,18,-1.20,46.38
85298,85150,Vairé,54,-1.75,46.61
85299,85770,Velluire,65,-0.89,46.40
85300,85190,Venansault,103,-1.54,46.69
85301,85250,Vendrennes,93,-1.12,46.82
85302,85130,La Verrie,88,-0.99,46.96
85303,85770,Vix,63,-0.86,46.35
85304,85450,Vouillé-les-Marais,80,-0.97,46.39
85305,85120,Vouvant,42,-0.76,46.56
85306,85240,Xanton-Chassenon,38,-0.71,46.45
85307,85460,La Faute-sur-Mer,103,-1.31,46.31
86-01,,Chasseneuil-du-Poitou,39,,
86-03,,Châtellerault-2,25,,
86-04,,Châtellerault-3,22,,
86-05,,Chauvigny,21,,
86-06,,Civray,20,,
