id,empty
02060,1.8
02061,8.0
02062,11.1
02063,5.7
02064,3.5
02065,7.4
02066,3.7
02067,5.1
02068,5.9
02069,3.6
02070,7.0
02071,2.9
02072,10.0
02073,8.4
02074,6.7
02075,5.9
02076,6.1
02077,6.6
02078,9.9
02079,2.0
02080,3.7
02081,6.9
02082,4.8
02083,5.4
02084,7.8
02085,5.8
02086,6.4
02087,12.5
02088,2.8
02089,6.2
02090,6.4
02091,5.9
02093,10.6
02094,8.0
02095,13.2
02096,10.0
02097,9.2
02098,9.4
02099,9.6
02100,5.7
02101,4.5
02102,9.0
02103,4.3
02104,3.9
02105,10.5
02106,8.5
02107,2.6
02108,5.7
02109,9.0
02110,7.3
02111,6.6
02112,3.1
02114,5.5
02115,4.3
02116,15.1
02117,3.8
02118,1.9
02119,6.9
02120,8.2
02121,13.3
02122,14.3
02123,9.7
02124,7.7
02125,3.4
02126,6.3
02127,5.1
02128,7.5
02129,12.2
02130,10.3
02131,4.6
02132,4.1
02133,12.4
02134,3.9
02135,9.6
02136,5.8
02137,0.0
02138,4.9
02139,7.6
02140,9.4
02141,13.8
02142,7.5
02143,12.6
02144,11.3
02145,4.5
02146,6.7
02147,10.5
02148,7.4
02149,4.5
02150,3.5
02151,1.6
02152,0.0
02153,3.6
02154,11.3
02155,4.4
02156,6.4
02157,4.8
02158,0.3
02159,2.4
02160,9.7
02161,10.9
02162,1.9
02163,9.1
02164,10.3
02165,6.7
02166,7.1
02167,8.5
02168,9.1
02169,6.1
02170,4.7
02171,11.8
02172,5.8
02173,9.8
02174,8.2
02175,7.8
02176,5.7
02177,4.5
02178,3.9
02179,8.1
02180,5.9
02181,14.4
02182,9.1
02183,6.5
02184,10.1
02185,11.7
02186,7.9
02187,8.1
02188,12.7
02189,9.3
02190,3.0
02191,3.4
02192,8.1
02193,4.9
02194,10.8
02195,7.1
02196,3.5
02197,8.8
02198,4.1
02199,3.8
02200,13.9
02201,7.4
02203,8.5
02204,7.4
02205,3.9
02206,2.9
02207,1.1
02208,7.1
02209,12.9
02210,2.6
02211,6.5
02212,5.2
02213,12.3
02214,0.0
02215,5.8
02216,5.6
02217,7.5
02218,8.5
02219,11.3
02220,7.7
02221,4.1
02222,0.0
02223,9.0
02224,3.9
02225,0.0
02226,4.3
02227,14.7
02228,7.6
02229,5.5
02230,5.4
02231,5.0
02232,4.6
02233,9.1
02234,11.2
02235,5.4
02236,12.7
02237,10.8
02238,7.7
02239,12.5
02240,6.2
02241,10.5
