id,impsp
49-18,150
49-19,150
71362,1807
71363,228
71369,2211
80148,618
80149,635
80140,856
80141,2216
80142,176
80143,206
80144,1181
80145,90
80146,592
80147,635
10354,169
10355,1277
10356,69
10357,498
10350,51
10351,2173
10352,1672
10353,84
10358,123
10359,141
70309,66
70308,27
70301,455
70303,64
70302,109
70305,1479
70304,1860
70307,169
70306,1860
45341,252
45340,429
45343,1886
45342,557
45345,1886
45344,1239
45347,2400
45346,92
45348,2400
73224,118
40269,1277
40268,1028
40261,4113
40260,351
40263,351
40262,97
40265,29
40264,4113
40267,29
40266,100
14303,6173
14302,38
14301,1137
14300,333
14307,1687
14306,292
14305,327
14304,2517
14309,251
14308,333
2B328,45
2B329,584
2B320,45
2B321,3
2B327,5
63349,115
63348,23
71096,92
78588,974
78586,31279
63347,678
63346,3
82179,95
82178,701
82173,701
82172,52
82171,1458
82170,896
82177,88
82176,184
82175,896
82174,1343
66142,102
79049,3648
66143,83
19263,333
19262,29
19261,22
19260,204
19266,688
19265,8
19264,7
19269,56
19268,8
34-11,150
34-12,150
34-14,150
46083,181
46082,124
46081,29
46080,138
46087,52
46086,181
46085,124
46084,181
49055,1790
49054,254
49057,52
46088,356
49051,724
49050,1613
49053,966
49052,111
55155,122
43109,13
43108,194
57230,923
57231,1558
57236,124
57237,361
57234,11207
57235,1367
43101,55
43100,57
43103,12
43102,1208
43105,811
43104,49
43107,57
43106,57
17148,485
17149,26
17145,965
17146,812
17147,574
17140,380
17141,587
17142,1028
17143,12422
60429,1542
60428,810
60421,5057
60420,856
60423,2160
60422,5057
60425,250
60424,1193
60427,124
60426,107
64216,795
64217,4383
64214,389
64215,152
64212,1029
64213,1868
64210,77
64211,795
64218,189
64219,473
21369,335
21368,956
80463,2101
79040,129
80461,627
80460,227
80467,1087
80466,103
80465,256
80464,592
80469,291
80468,2428
27594,84
27595,1250
27596,68
27597,1306
27590,47
27591,328
27592,1122
27593,1250
27598,300
27599,1991
49231,573
48018,1473
48019,63
21360,41
48012,472
48013,1473
48010,11
48016,1473
21363,142
48014,6
48015,17
49232,5
29259,1906
29255,2788
29254,6136
29257,1301
29256,187
29251,316
29250,1281
21364,11
21367,1758
78358,23045
78356,4015
78354,16708
21366,428
78350,3338
34280,8705
34281,2057
34282,1776
34283,6
34284,72
34285,2057
34286,1088
34287,1463
34288,8705
34289,402
72051,476
72050,178
72057,163
72056,935
79087,135
72054,1405
59508,3868
59509,1459
59502,114
59503,554
59500,218
59501,1334
59506,987
59507,12096
59504,638
59505,804
77025,24
78686,8626
78681,542
78683,3179
78688,13695
66214,3814
66215,475
66216,52
50308,162
66210,3814
66211,3814
66212,505
66213,1899
50302,310
50301,195
50300,54
66218,38
66219,954
50305,254
50304,291
23039,95
23038,82
23037,75
23036,133
23035,38
23034,75
23033,4346
23032,82
23031,82
23030,107
22348,417
22349,16191
22346,387
22347,779
22344,129
22345,387
22342,356
22343,1152
22340,1128
22341,319
77269,1327
77268,30003
77263,491
77262,60
77261,289
77260,842
77267,325
77266,64
77265,106
77264,591
73010,1072
73011,8131
73012,1531
73013,1531
73014,8131
73015,71
73017,2191
73018,4289
73019,273
95610,1057
95611,152
51160,738
51161,358
51162,226
51163,68
51164,115
51165,115
51166,19
51167,14
51168,738
51169,14
27279,643
27278,194
61299,115
61298,2214
27271,1036
27270,1007
27273,2249
61296,76
27275,1991
27274,123
27277,1036
27276,723
25527,1390
25526,266
25525,226
25524,545
25523,37
25522,209
25521,923
25520,179
25529,52
25528,269
02212,1991
02213,46
02210,201
02211,261
02216,1046
02217,96
02214,155
02215,131
74249,7489
02218,236
02219,96
57575,383
57574,1609
57577,321
57576,503
57571,882
57570,901
57573,174
57572,463
70542,1479
70541,1697
70540,164
57579,35
57578,1470
70545,98
70544,1860
75113,150
75112,150
75111,150
75110,150
75117,150
75116,150
75115,150
75114,150
75119,150
75118,150
77490,1021
77491,2396
77492,561
40069,709
40068,351
40063,1337
40062,193
40061,193
40060,11
02-20,150
02-21,150
40065,2543
40064,193
14149,587
14148,485
14145,357
14144,697
14147,485
14146,23
14141,62
14140,153
14143,342
14142,249
01299,459
01298,65
89111,86
01293,157
01292,42
01291,645
01290,2423
01297,3740
01296,196
01295,965
01294,2549
89113,14317
89115,666
11182,33
89116,476
11183,166
89117,68
11180,3
14499,1087
14498,1908
14493,587
14354,159
14491,727
14497,469
14496,23
14495,283
14355,571
38039,3711
38038,1348
14356,951
76499,112
76498,13601
38033,974
38032,1331
38031,10
14357,23
38037,1331
38036,3383
38035,1627
38034,1331
71001,749
71003,194
89042,47
89043,61
89040,93
71002,454
89046,59
89044,1057
89045,82
89048,14
89049,16
71007,228
55076,52
71006,461
55077,214
91111,1214
08377,331
08376,365
08375,365
08374,96
08373,25
08372,40
08371,728
08370,443
91115,1869
55078,83
08379,78
08378,78
47040,1792
47041,256
47042,133
47043,226
47044,68
47045,909
47046,205
47047,70
47048,108
47049,333
31517,2342
31516,2102
31515,3732
31514,1547
31513,26
31512,580
31511,431
31510,135
31519,1547
31518,5279
88319,293
88318,653
88315,1065
88314,47
88317,290
88316,364
88311,71
88310,38
88313,185
88312,245
39070,1403
39072,252
39073,494
39074,101
39075,210
39076,691
39077,399
39078,9622
39079,1427
69242,4357
44041,894
69240,801
69241,2085
69246,1396
69247,4
69244,17321
44040,801
69248,801
69249,2099
09-10,150
09-11,150
09-12,150
09-13,150
67078,2411
02601,261
44044,430
44046,519
67071,690
67070,729
17434,1206
17435,350
17436,350
17437,565
17430,145
17431,1142
17432,279
17433,279
17438,345
17439,518
80269,425
80268,270
68-15,150
68-14,150
80267,2216
68-16,150
80261,2536
80260,635
68-13,150
80262,270
62379,423
62378,423
62377,150
62376,775
62375,117
62374,169
62373,1143
62372,454
62371,1542
62370,188
85169,565
85168,384
76534,620
85161,779
85160,759
85163,1190
85162,267
85165,1662
85164,191
85167,3620
85166,3617
41073,258
41072,7133
29-21,150
29-20,150
29-27,150
29-26,150
29-25,150
41074,315
29167,1286
41079,487
41078,136
17273,965
29166,187
54242,152
54243,751
54240,90
54241,23
54246,147
54247,221
54244,90
54245,222
54248,90
54249,1471
95270,1251
95271,651
95277,14933
28054,2011
28055,2011
28056,731
28057,391
28050,1359
28051,391
28052,2730
28053,451
28058,2011
28059,106
61464,360
61465,4222
51362,698
51363,2732
51360,390
51361,14
51367,362
51364,474
51365,1384
51368,187
51369,390
61059,115
61058,4222
61057,43
61056,360
61055,85
61054,6
61053,50
61052,224
61051,360
61050,280
25321,565
25320,226
25323,52
25322,923
25325,62
25324,179
25327,299
25326,653
25329,209
25328,494
89177,16
28356,111
70347,2592
70343,185
70342,77
28354,534
59626,921
59625,208
59624,193
57009,124
57008,1149
57004,461
57007,463
57006,206
57001,218
57003,63
28353,391
16424,183
16425,746
59620,328
16420,123
16421,230
16422,418
16423,291
60094,13
60095,856
52189,48
60097,535
60090,856
60091,252
60092,252
60093,410
52183,76
52182,59
52181,14
52180,165
52187,13
60099,38
52185,66
52184,305
53272,92
53273,312
53270,229
53271,258
53276,586
53274,68
49248,255
21319,2124
21314,152
21315,3140
21316,213
49247,1716
21310,116
49241,5240
21312,13
49243,150
94075,4116
31078,26
94077,8051
94076,97106
94071,9936
94070,4116
94073,15863
31079,3732
94079,17507
94078,12004
95535,1057
50291,143
81323,177
50290,737
31072,142
31073,1728
31074,431
31075,5279
31076,1254
50296,381
78528,1567
78520,1430
78522,1188
78524,28293
62636,1480
62637,2627
62634,2031
62635,363
62632,775
62633,1696
62630,454
62631,366
62638,796
62639,1542
27419,1036
27418,1122
27411,622
27410,1944
27413,430
27412,6561
27415,328
27414,47
27417,723
27416,153
08171,26
08170,7015
08173,396
08172,50
08175,1342
08174,7015
67048,1544
08176,19
08179,728
08178,40
67044,949
67045,668
67043,16343
67040,7466
67041,700
64506,14
91292,1483
91293,1562
91294,279
81322,71
29048,830
29049,210
29044,1142
29045,1094
29046,3022
29047,2184
29040,974
29041,210
29042,2247
29043,1094
86296,208
86297,988
86294,939
86295,390
31069,72069
31068,131
31067,71
31066,742
31065,436
31064,131
31063,109
31062,177
31061,885
31060,93
55099,3193
55094,239
55095,205
55096,75
55097,143
55093,288
35294,3982
35295,253
35296,1716
35297,729
35290,253
35291,2431
35292,669
35293,855
35299,1001
24443,325
24442,903
24441,120
50119,135
24447,216
24446,48
24445,91
24444,423
50112,194
50110,287
50111,184
50116,615
50117,615
50114,312
50115,312
55549,21
55543,316
55540,288
55541,4409
55546,214
55547,214
55544,214
55545,3193
22139,86
22138,165
73197,627
73196,8131
73191,297
73190,1783
73193,390
73192,96
22131,23
22133,199
22132,165
22135,233
22134,2845
22137,129
22136,1897
77438,19370
77439,53
77432,1128
77433,5560
77430,761
77431,6106
77436,409
77437,767
77434,381
77435,1034
66034,954
66035,6
73223,204
66038,1030
73221,118
73220,273
73227,201
73226,364
73225,2191
66039,83
73229,262
73228,1055
51645,390
51644,601
51647,2732
51646,187
51641,68
51640,187
51643,1764
51642,226
51649,2732
51648,99
56015,1112
56014,665
56017,1856
56016,186
56011,1017
56010,859
56013,987
56012,1412
56019,316
56018,1623
02397,148
02396,152
02395,96
74166,14013
02393,292
02392,355
36248,958
02390,76
36246,33
36247,142
36244,173
36245,264
36242,142
36243,273
02399,261
02398,730
84098,2571
84099,416
41279,487
41278,108
41275,258
41274,487
41277,29
41276,30007
41271,78
41270,31
41273,72
41272,786
77407,4034
77406,561
73184,297
77404,842
77403,3246
77402,1128
77401,2916
77400,724
71261,749
71263,2109
71262,153
71265,1610
71264,579
71267,806
71266,28
71269,32337
71268,171
73188,912
33038,795
33039,17712
33036,662
33037,1591
33034,1956
33035,1349
33032,2072
33033,795
33030,1061
33031,2119
01158,241
01159,822
01154,1167
01155,188
01156,2423
01157,3515
01150,1498
01151,868
01152,65
01153,3061
83013,10
83012,368
83011,478
83010,10
83017,8066
83016,1908
83015,170
83014,170
83019,1233
83018,308
71485,302
71484,2109
71487,1807
71486,875
71481,1807
71480,191
71483,461
71482,182
71489,75
71488,579
14758,1784
14759,1908
14754,647
14755,214
14756,121
14757,571
14750,62
14751,1908
14752,727
14753,403
2B364,1
2B365,98
18105,85
18104,96
18107,1206
18106,87
18101,158
18100,72
18103,72
18102,87
18109,93
18108,158
01-09,150
30077,105
28357,2730
38268,178
30074,2
30073,2236
30072,2302
30071,521
30070,2507
38262,1495
38263,1782
38260,2888
38261,1949
38266,216
28355,1359
38264,449
38265,216
31306,93
31307,135
31304,339
31305,26
31302,3539
31303,2342
31300,3539
31301,142
54-05,150
91338,3781
31308,93
31309,216
28351,451
11229,9
11228,106
11227,77
11226,26
11225,3095
11224,6
11223,282
11222,3
11221,51
11220,769
19058,50
19059,52
52291,21
19050,196
19051,6
19052,22
19053,688
19054,204
19055,58
19056,38
19057,196
38-08,150
73063,36
62599,185
62598,500
85305,673
76169,2510
76168,361
76167,1270
76166,359
76165,4883
38-07,150
76162,361
39135,296
39134,102
39137,123
39136,210
39131,184
39130,184
39133,252
39132,210
76160,5998
39139,399
39138,399
80658,1181
80659,856
80650,76
80651,206
80652,54
80654,635
80655,130
80656,108
80657,291
88108,71
88109,1076
88104,527
88105,38
88106,222
88107,40
88100,857
88101,220
88102,40
88103,147
73232,10
95459,1251
95450,866
95452,583
95456,4455
12284,33
12285,78
12286,600
12287,1841
12280,66
12281,1841
12282,41
12283,86
21156,41
21157,13
21154,245
21155,41
12288,339
12289,117
21150,406
21151,152
81309,72
81308,88
64089,64
64088,1660
64087,1660
64086,1313
64085,14
64084,85
64083,152
64082,696
64081,389
64080,5655
21484,322
21485,403
21486,2124
21487,2124
21480,84
21481,1662
21482,213
21483,427
21488,17
21489,13
91333,12059
55577,14
55575,44
53074,3532
53075,207
53076,37
53077,207
53071,229
53072,176
53073,369
55573,115
53078,3860
53079,278
71420,454
55571,83
71427,228
55570,16
71426,302
71425,191
71424,59
55579,54
55578,239
07138,531
07139,17
07130,3
07131,8846
07132,609
07133,289
07134,609
07135,3
07136,150
07137,3
35284,1369
2B298,110
2B299,579
2B296,1543
2B297,579
2B290,15
2B291,6
2B292,2
2B293,274
59289,98
59288,1043
59285,263
59284,543
59287,249
59286,6995
59281,711
59280,552
59283,457
59282,729
95331,4455
61390,100
61391,4222
61392,6
61393,49
61394,195
61395,280
61396,62
61397,15253
61398,26
61399,195
74174,458
74175,7489
74172,7489
74173,636
23266,23
74170,7129
07337,1446
74171,4650
23264,3
23265,23
07332,1596
07333,69
23260,33
23261,38
26351,11
26350,150
26353,1317
26352,441
26355,496
26354,7
26357,999
26356,11
26359,246
26358,3707
51087,99
51086,798
51085,193
51084,14
51083,187
51082,187
51081,798
51080,38
71468,300
51089,650
51088,698
80780,592
57702,160
57703,1490
57700,1367
57701,1470
57706,273
57707,1470
57704,218
57705,923
57708,1558
57709,1490
52069,43
52064,49
52065,22
52066,22
52067,49
52060,66
52061,76
52062,935
52063,49
60119,1828
60118,5084
60111,635
60110,502
60113,250
60112,1310
60115,1310
60114,156
60117,5084
60116,1299
87204,251
87205,574
09149,751
09148,81
09143,6
09142,428
09141,32
09140,29
09147,371
09146,371
09145,5775
41263,487
97225,417
97224,2343
97227,1827
36182,45
97221,2583
97220,1600
97223,1464
97222,3464
97229,5808
97228,2950
37021,624
37020,941
04-11,150
37022,1496
37025,2310
37024,816
37027,1370
37026,941
37029,204
37028,78
88399,220
14347,326
88398,1065
78194,1430
78196,456
14346,365
78192,71
78193,346
95582,13190
14345,469
03152,38
03153,163
03150,22
03151,739
03156,109
03157,489
03154,60
03155,82
67231,541
67230,3945
03158,163
03159,739
67235,305
67234,729
67237,320
67236,1895
30271,535
30270,1439
30273,52
30272,106
30275,45
30274,2034
30277,9061
30276,1510
30279,928
30278,654
76042,827
76043,5998
76044,503
76045,588
76046,549
76047,535
80218,227
72291,287
72290,1010
72293,234
72292,163
72295,529
72294,451
72297,487
72296,163
72299,2160
72298,163
79249,931
91318,3548
80219,390
35319,3114
35318,1582
90034,892
35311,427
35310,2210
35312,2452
35315,1716
35314,1369
35317,583
35316,279
07273,531
07272,8846
23181,107
23180,454
23187,27
07276,379
07275,173
07274,74
07279,289
07278,137
78082,16708
90039,424
95633,14933
08-04,150
95637,5224
08-05,150
50074,194
78084,1430
78327,408
78325,1592
88474,527
78324,16708
05129,5
05128,604
55423,14
05124,17308
05127,33
05126,5
05121,33
05120,0
05123,157
05122,6
88477,90
78321,1232
88470,111
78320,1567
88471,38
38408,2601
38409,97
88472,76
80213,1140
38402,1300
38403,34
38400,5596
38401,7927
38406,103
38407,88
38404,3324
38405,88
70079,234
70078,98
70072,169
70071,27
70070,98
70077,169
70076,164
70075,237
70074,98
71388,93
55425,214
71382,851
55447,457
71380,159
71381,579
71386,75
71387,47
71384,1033
71385,1807
55445,62
70381,10305
70380,185
70383,455
70385,1860
70384,77
70387,77
70386,101
70389,1479
70388,10305
02586,72
02587,236
02584,202
02585,161
02582,152
02583,184
02580,161
02581,292
36031,273
36030,148
36033,959
36032,959
36035,23
36034,193
36037,958
02589,7804
33209,905
33208,189
14389,727
14388,2357
14383,317
14382,111
14381,469
14380,365
14387,587
14386,587
14385,5637
14384,479
87001,1174
87002,500
87003,79
87004,41
87005,1551
87006,6
87007,91
87008,65
87009,41
55426,4409
88524,364
44078,49
44079,2134
02638,188
02639,202
44070,2299
44071,3947
44072,1719
02637,26373
44074,1238
02631,4102
02632,96
44077,297
81005,86
24133,86
80158,1181
71030,579
71031,776
71032,776
71033,168
71034,302
71035,806
71036,228
71037,228
71038,182
71039,579
76563,2510
76562,549
76561,6365
76560,4139
76567,827
76566,978
76565,1357
76564,278
76569,807
76568,5998
03215,429
03214,66
03217,185
03216,34
03211,2476
03210,82
03213,163
03212,273
03219,84
03218,107
80154,2216
80152,1087
11380,74
11381,51
11382,3095
11383,3095
11384,6
11385,115
11386,77
11387,77
11388,6
11389,2
89178,150
89179,82
19159,333
19158,238
19155,6
19154,87
19157,58
19156,119
19151,853
19150,196
19153,696
19152,204
2A268,0
2A269,20
52269,935
52266,165
52267,9306
2A266,0
52265,168
52262,16
2A262,0
43181,276
43180,15
43183,57
43182,12
43185,586
43184,409
43187,100
43186,1
43189,194
43188,57
60351,410
60350,466
60357,488
60356,856
60355,1069
60354,508
83008,550
83009,3028
80759,1087
80758,291
80755,227
80754,42
80757,390
80756,127
80751,785
80750,2216
80753,2428
80752,1140
83004,1262
46009,46
46008,65
83005,170
46003,525
46002,525
46001,356
46007,702
46006,568
46005,356
46004,194
64298,32
64299,251
64296,1660
64297,189
64294,358
64295,1660
64292,454
64293,64
64290,1392
64291,696
95555,13674
95554,1251
67553,6418
24200,271
12129,33
12128,13
12121,97
12120,110
12123,104
12122,56
12125,23
12124,341
12127,127
12126,104
10417,51
10416,1564
10415,157
10414,60
90008,1108
10412,498
10411,301
10410,23
90004,1108
90005,581
90006,581
90007,1108
90001,2136
10419,123
10418,226
63110,21
24209,322
63112,812
63113,150
63114,447
63115,53
63116,374
24208,131
63118,53
63119,89
83-09,150
62869,2558
